"Sanctioned Budget Additionality, Saving and Revised (full FY) with Expenditure FROM [ 01/04/2018 ] TO [ 31/03/2022 ]"
As Per Selected Query Demand and HOA Wise Summary [in Rupees]
DmdCd,HOA,"Sanction Budget
(April)",Addition,Saving,"Revised Budget
(A)","Expenditure
(within selected period) (B)","Balance
(A-B)"
Grand Total,,567779223000.00,60822652816.00,79446508115.00,549155367701.00,354729782693.00,194425585008.00
01-VIDHAN SABHA,Total,459262000.00,80751000.00,4115000.00,535898000.00,494356220.00,41541780.00
,01-2011-02-101-01-S00N-01-N-C-SALARIES,9200000.00,1100000.00,0.00,10300000.00,10278319.00,21681.00
,01-2011-02-101-01-S00N-03-N-C-TRAVEL EXPENSES,1435000.00,500000.00,0.00,1935000.00,1934352.00,648.00
,01-2011-02-101-01-S00N-06-N-C-MEDICAL REIMBURSEMENT,116000.00,0.00,0.00,116000.00,75400.00,40600.00
,01-2011-02-101-01-S00N-20-N-V-OTHER CHARGES,4000000.00,0.00,0.00,4000000.00,4000000.00,0.00
,01-2011-02-101-03-S00N-01-N-V-SALARIES,133560000.00,0.00,3100000.00,130460000.00,126634194.00,3825806.00
,01-2011-02-101-03-S00N-03-N-V-TRAVEL EXPENSES,19516000.00,450000.00,0.00,19966000.00,19962505.00,3495.00
,01-2011-02-101-03-S00N-05-N-V-OFFICE EXPENSES,1502000.00,2050000.00,0.00,3552000.00,3537637.00,14363.00
,01-2011-02-101-03-S00N-06-N-V-MEDICAL REIMBURSEMENT,1575000.00,2000000.00,0.00,3575000.00,2997619.00,577381.00
,01-2011-02-101-03-S00N-20-N-V-OTHER CHARGES,14500000.00,56100000.00,0.00,70600000.00,69142455.00,1457545.00
,01-2011-02-101-03-S00N-42-N-V-GRANTS-IN-AID GENERAL (Non-Salary),1500000.00,0.00,0.00,1500000.00,1500000.00,0.00
,01-2011-02-101-04-S00N-03-N-V-TRAVEL EXPENSES,1284000.00,1000000.00,0.00,2284000.00,2281929.00,2071.00
,01-2011-02-101-05-S00N-20-N-V-OTHER CHARGES,53000000.00,0.00,1000000.00,52000000.00,51997406.00,2594.00
,01-2011-02-103-01-S00N-01-N-V-SALARIES,153082000.00,0.00,0.00,153082000.00,127990494.00,25091506.00
,01-2011-02-103-01-S00N-02-N-V-WAGES,15000.00,0.00,15000.00,0.00,0.00,0.00
,01-2011-02-103-01-S00N-03-N-V-TRAVEL EXPENSES,1050000.00,0.00,0.00,1050000.00,1030835.00,19165.00
,01-2011-02-103-01-S00N-04-N-V-LIVERIES,275000.00,0.00,0.00,275000.00,209705.00,65295.00
,01-2011-02-103-01-S00N-05-N-V-OFFICE EXPENSES,8925000.00,0.00,0.00,8925000.00,8706957.00,218043.00
,01-2011-02-103-01-S00N-06-N-V-MEDICAL REIMBURSEMENT,2415000.00,600000.00,0.00,3015000.00,3014768.00,232.00
,"01-2011-02-103-01-S00N-07-N-V-RENT, RATES & TAXES",1600000.00,0.00,0.00,1600000.00,1352465.00,247535.00
,01-2011-02-103-01-S00N-09-N-V-ADVERTISING & PUBLICITY,284000.00,250000.00,0.00,534000.00,337991.00,196009.00
,01-2011-02-103-01-S00N-10-N-V-HOSPITALITY & ENT.EXPENSES,528000.00,2400000.00,0.00,2928000.00,2892260.00,35740.00
,01-2011-02-103-01-S00N-12-N-V-PROFESSIONAL & SPECIAL SERVICE,300000.00,0.00,0.00,300000.00,219700.00,80300.00
,01-2011-02-103-01-S00N-20-N-V-OTHER CHARGES,1200000.00,800000.00,0.00,2000000.00,1990112.00,9888.00
,01-2011-02-103-01-S00N-27-N-V-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,01-2011-02-103-01-S00N-30-N-V-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),2134000.00,2300000.00,0.00,4434000.00,4431629.00,2371.00
,01-2011-02-103-01-S00N-65-N-V-REMUNERATION TO OUTSOURCE EMPLOYEES,10420000.00,0.00,0.00,10420000.00,10391290.00,28710.00
,01-2011-02-103-01-S00N-99-N-V-HONORARIUM,0.00,300000.00,0.00,300000.00,250000.00,50000.00
,01-2216-07-053-01-S00N-21-N-V-MAINTENANCE,5345000.00,10000000.00,0.00,15345000.00,15320198.00,24802.00
,01-7610-00-201-04-S00N-48-N-V-LOANS,20000000.00,0.00,0.00,20000000.00,12475000.00,7525000.00
,01-7610-00-201-06-S00N-48-N-V-LOANS,2000000.00,0.00,0.00,2000000.00,0.00,2000000.00
,01-7610-00-202-05-S00N-48-N-V-LOANS,7500000.00,401000.00,0.00,7901000.00,7901000.00,0.00
,01-7610-00-202-06-S00N-48-N-V-LOANS,1000000.00,500000.00,0.00,1500000.00,1500000.00,0.00
02-GOVERNOR AND COUNCIL OF MINISTERS,Total,252364000.00,20264333.00,6171000.00,266457333.00,233979691.00,32477642.00
,02-2012-03-090-01-S00N-01-N-C-SALARIES,38984000.00,0.00,0.00,38984000.00,31706252.00,7277748.00
,02-2012-03-090-01-S00N-02-N-C-WAGES,1000.00,0.00,0.00,1000.00,0.00,1000.00
,02-2012-03-090-01-S00N-03-N-C-TRAVEL EXPENSES,40000.00,40000.00,0.00,80000.00,79758.00,242.00
,02-2012-03-090-01-S00N-04-N-C-LIVERIES,352000.00,0.00,0.00,352000.00,352000.00,0.00
,02-2012-03-090-01-S00N-05-N-C-OFFICE EXPENSES,4848000.00,2700000.00,0.00,7548000.00,7462466.00,85534.00
,02-2012-03-090-01-S00N-06-N-C-MEDICAL REIMBURSEMENT,882000.00,0.00,0.00,882000.00,555263.00,326737.00
,"02-2012-03-090-01-S00N-07-N-C-RENT, RATES & TAXES",84000.00,0.00,0.00,84000.00,76946.00,7054.00
,02-2012-03-090-01-S00N-10-N-C-HOSPITALITY & ENT.EXPENSES,6000.00,0.00,0.00,6000.00,5940.00,60.00
,02-2012-03-090-01-S00N-15-N-C-TRAINING,1000.00,0.00,0.00,1000.00,0.00,1000.00
,02-2012-03-090-01-S00N-27-N-C-MOTOR VEHICLES (Purchase),1000.00,0.00,0.00,1000.00,0.00,1000.00
,02-2012-03-090-01-S00N-30-N-C-MOTOR VEHICLES (OUTSOURCED VEHICLES/POL/Repairs),1361000.00,400000.00,0.00,1761000.00,1760962.00,38.00
,02-2012-03-101-01-S00N-17-N-C-EMOULMENTS,4200000.00,513333.00,0.00,4713333.00,4695000.00,18333.00
,02-2012-03-102-01-S00N-20-N-V-OTHER CHARGES,5000000.00,0.00,0.00,5000000.00,4624438.00,375562.00
,02-2012-03-103-01-S00N-01-N-C-SALARIES,26561000.00,0.00,0.00,26561000.00,21608553.00,4952447.00
,02-2012-03-103-01-S00N-03-N-C-TRAVEL EXPENSES,184000.00,350000.00,0.00,534000.00,521448.00,12552.00
,02-2012-03-103-01-S00N-05-N-C-OFFICE EXPENSES,400000.00,200000.00,500000.00,100000.00,76140.00,23860.00
,02-2012-03-103-01-S00N-06-N-C-MEDICAL REIMBURSEMENT,332000.00,0.00,0.00,332000.00,331852.00,148.00
,02-2012-03-103-01-S00N-11-N-C-FURNISHINGS,70000.00,20000.00,0.00,90000.00,89887.00,113.00
,02-2012-03-103-01-S00N-15-N-C-TRAINING,14000.00,0.00,0.00,14000.00,0.00,14000.00
,02-2012-03-103-01-S00N-21-N-C-MAINTENANCE,250000.00,100000.00,250000.00,100000.00,149774.00,-49774.00
,02-2012-03-104-01-S00N-28-N-C-SUMPTUARY ALLOWANCE,200000.00,1370000.00,220000.00,1350000.00,1349439.00,561.00
,02-2012-03-105-01-S00N-06-N-C-MEDICAL REIMBURSEMENT,58000.00,200000.00,0.00,258000.00,202392.00,55608.00
,02-2012-03-106-01-S00N-10-N-C-HOSPITALITY & ENT.EXPENSES,50000.00,50000.00,90000.00,10000.00,2000.00,8000.00
,02-2012-03-107-01-S00N-05-N-C-OFFICE EXPENSES,800000.00,300000.00,0.00,1100000.00,1099652.00,348.00
,02-2012-03-108-01-S00N-03-N-C-TRAVEL EXPENSES,1000000.00,200000.00,100000.00,1100000.00,887193.00,212807.00
,02-2012-03-110-01-S00N-27-N-C-MOTOR VEHICLES (Purchase),1000.00,1000.00,1000.00,1000.00,0.00,1000.00
